1251.800892N,07450.464134E, Mangaluru junction 
1249.8853N,07741.7219E,BangloreTest
1243.493532N,07453.226348E, Manjeshwar 
1235.399508N,07456.481042E, Kumbla
1229.4852N,07459.130138E,Kasargod
1225.41243N,07501.315032E,Kotikulam
1219.206162N,07505.073174E,Kanhangad
1215.352092N,07508.012286E,Nileshwar
1212.875808N,07509.153606E,Charvattur
1205.48418N,07511.603244E,Payyanur 
1201.313556N,07515.51957E,Payangadi
1159.05557N,07518.826236E,Kannapuram
1152.299096N,07522.004892E,Kannur
1145.17436N,07529.476476E,Thalassery
1141.939748N,07532.71632E,Mahe 
1135.61762N,07535.101338E,Vadakara 
1126.7768N,07541.579844E,Quilandi
1114.789256N,07546.735608E,Kozhikkode
1110.5006N,07549.677738E,Ferok
1108.041428N,07549.55913E,Kadalundi
1102.983836N,07551.383622E,Parpanangadi
1058.684032N,07552.757424E,Tanur
1055.032318N,07555.199976E,Tirur
1050.736114N,07601.892454E,Kuttippuram
1048.134214N,07610.722774E,Pattambi
1045.556638N,07616.155396E,Shoranur Junction
1046.188936N,07622.530768E,Ottappalam
1047.506854N,07638.536062E,Palakkad Junction Railway Station
1047.506824N,07637.856916E,Palakkad Town
1057.893952N,07659.186262E,Podanur Jn
1059.768076N,07657.938724E,Coimbatore Junction
1047.506824N,07637.856916E,Palakkad Town
1047.506854N,07638.536062E,Palakkad Junction Railway Station
1046.188936N,07622.530768E,Ottappalam
1038.895726N,07614.180886E,Wadakanchery
1030.838698N,07612.28776E,Thrissur
1020.374728N,07616.77378E,Irinjalakkuda
1018.149136N,07619.267608E,Chalakudy 
1011.011782N,07622.554864E,Angamaly (Kalady)
1006.502338N,07621.273714E,Aluva
0959.498148N,07617.061396E,Ernakulam Town (North)
0958.879302N,07616.239984E,Ernakulam Junction
